Academic Score,Stream,Technical Skill,Soft Skill,Personality,Interest,Work Style,Career Domain
87.72,MBA,Excel,Leadership,Extrovert,Marketing,Remote,Marketing Manager
76.12,Commerce,SQL,Analytical,Extrovert,Banking,Remote,Risk Analyst
73.04,Engineering,Python,Problem Solving,Extrovert,DevOps,Remote,DevOps Engineer
80.37,Commerce,Power BI,Communication,Extrovert,Analytics,Office,Business Analyst
71.54,Science,Python,Leadership,Introvert,Research,Hybrid,Lab Manager
89.11,Engineering,Networking,Analytical,Extrovert,Telecom,Office,Telecom Engineer
93.23,Commerce,Excel,Problem Solving,Extrovert,Audit,Office,Auditor
72.02,Arts,Web Dev,Communication,Extrovert,Media,Remote,Media Designer
59.82,MBA,SQL,Analytical,Introvert,Consulting,Hybrid,Business Consultant
55.23,MBA,Excel,Leadership,Ambivert,Marketing,Hybrid,Marketing Manager
58.34,Science,Excel,Communication,Ambivert,Teaching,Hybrid,Science Teacher
71.28,Arts,Web Dev,Creative,Ambivert,Creative Tech,Office,Creative Technologist
65.75,Engineering,SQL,Team Work,Extrovert,Database,Remote,Database Administrator
92.31,Science,Maths,Analytical,Extrovert,Statistics,Office,Statistician
79.15,Engineering,Web Dev,Analytical,Introvert,Architecture,Office,Backend Developer
82.13,Engineering,Python,Creative,Extrovert,Generative AI,Remote,GenAI Specialist
84.09,Science,Python,Analytical,Ambivert,Quantum Computing,Office,Quantum Researcher
68.6,Engineering,Networking,Analytical,Introvert,Telecom,Office,Telecom Engineer
70.24,MBA,SQL,Leadership,Ambivert,Business Analytics,Hybrid,Strategy Consultant
72.21,Commerce,Excel,Communication,Introvert,Insurance,Office,Insurance Analyst
84.31,Arts,Graphics Design,Creative,Extrovert,Illustration,Hybrid,Illustrator
87.38,Commerce,Excel,Communication,Ambivert,Insurance,Hybrid,Insurance Analyst
94.78,Arts,UI/UX,Creative,Extrovert,Accessibility,Office,Accessibility Designer
91.72,Arts,UI/UX,Problem Solving,Ambivert,Product Design,Office,Product Designer
51.83,Commerce,Tally,Communication,Introvert,Taxation,Remote,Tax Consultant
78.5,Engineering,Networking,Analytical,Extrovert,Telecom,Office,Telecom Engineer
78.52,Engineering,Python,Creative,Introvert,Computer Vision,Remote,CV Engineer
83.45,Journalism,Communication Tools,Communication,Introvert,Media,Hybrid,Journalist
95.82,Journalism,Web Dev,Communication,Extrovert,Social Media,Office,Social Media Manager
95.09,Sports,Analytics,Problem Solving,Introvert,Sports Science,Hybrid,Sports Scientist
86.06,MBA,Power BI,Communication,Extrovert,Digital Marketing,Office,Digital Marketing Manager
91.45,Engineering,SQL,Analytical,Ambivert,Data Science,Office,Data Analyst
55.02,Sports,Excel,Leadership,Introvert,Sports,Hybrid,Sports Manager
56.44,Arts,UI/UX,Creative,Ambivert,Design,Office,UI UX Designer
87.55,Engineering,Networking,Team Work,Introvert,Networking,Hybrid,Network Engineer
92.49,Engineering,Python,Problem Solving,Extrovert,DevOps,Hybrid,DevOps Engineer
91.08,Engineering,Python,Problem Solving,Ambivert,DevOps,Hybrid,DevOps Engineer
99.09,Journalism,UI/UX,Communication,Extrovert,Publishing,Office,Content Strategist
71.09,Engineering,C++,Problem Solving,Ambivert,Automotive,Remote,Automotive Engineer
79.99,Engineering,Python,Analytical,Ambivert,Automation,Remote,RPA Developer
84.32,Commerce,Power BI,Communication,Introvert,Analytics,Hybrid,Business Analyst
96.58,Commerce,Power BI,Leadership,Ambivert,Finance,Office,Finance Manager
95.14,Sports,Analytics,Problem Solving,Ambivert,Sports Science,Office,Sports Scientist
63.49,Engineering,Python,Problem Solving,Extrovert,NLP,Hybrid,NLP Engineer
59.18,MBA,Excel,Problem Solving,Introvert,Supply Chain,Hybrid,Supply Chain Manager
50.72,Engineering,Web Dev,Analytical,Extrovert,Architecture,Office,Backend Developer
79.46,Science,Python,Analytical,Ambivert,Bioinformatics,Office,Bioinformatics Analyst
86.35,Engineering,Python,Problem Solving,Introvert,MLOps,Hybrid,MLOps Engineer
82.49,Journalism,Communication Tools,Communication,Ambivert,Media,Remote,Journalist
85.35,Engineering,Python,Analytical,Extrovert,AI,Remote,Prompt Engineer
98.61,Journalism,Web Dev,Leadership,Ambivert,News,Remote,Editor
93.17,Journalism,Web Dev,Communication,Introvert,Broadcasting,Hybrid,Broadcast Journalist
92.51,Engineering,Python,Analytical,Extrovert,AI,Remote,Prompt Engineer
78.63,Commerce,SQL,Analytical,Extrovert,Banking,Office,Risk Analyst
64.77,Sports,Analytics,Communication,Ambivert,Performance,Hybrid,Performance Analyst
61.86,MBA,Excel,Problem Solving,Extrovert,Supply Chain,Remote,Supply Chain Manager
82.91,Engineering,C++,Problem Solving,Introvert,Automotive,Remote,Automotive Engineer
87.91,MBA,Excel,Problem Solving,Ambivert,Supply Chain,Hybrid,Supply Chain Manager
70.91,MBA,Power BI,Analytical,Extrovert,Business Intelligence,Office,BI Manager
56.85,Commerce,SQL,Analytical,Ambivert,FinTech,Remote,FinTech Analyst
56.04,Science,Power BI,Analytical,Ambivert,Analytics,Hybrid,Research Analyst
58.58,Science,Maths,Problem Solving,Ambivert,Actuarial Science,Hybrid,Actuary
59.19,Sports,Analytics,Problem Solving,Ambivert,Sports Science,Remote,Sports Scientist
90.29,Journalism,UI/UX,Creative,Extrovert,Storytelling,Remote,Content Creator
55.1,Engineering,SQL,Analytical,Extrovert,Big Data,Remote,Data Engineer
98.99,Engineering,Networking,Analytical,Ambivert,Telecom,Hybrid,Telecom Engineer
59.25,Engineering,C++,Problem Solving,Introvert,Robotics,Remote,Robotics Engineer
97.51,Sports,Communication,Leadership,Extrovert,Coaching,Office,Coach
54.33,Journalism,Web Dev,Communication,Introvert,Digital Media,Hybrid,Digital Journalist
50.02,Engineering,C++,Problem Solving,Introvert,Automotive,Office,Automotive Engineer
86.67,Engineering,Python,Problem Solving,Ambivert,NLP,Remote,NLP Engineer
58.19,Journalism,Web Dev,Communication,Extrovert,SEO,Hybrid,SEO Specialist
77.36,Arts,Graphics Design,Leadership,Ambivert,Branding,Office,Brand Designer
54.72,Journalism,Graphics Design,Creative,Ambivert,Marketing,Office,Media Specialist
68.29,MBA,Excel,Leadership,Ambivert,HR,Hybrid,HR Manager
80.93,Sports,Analytics,Communication,Introvert,Performance,Office,Performance Analyst
73.52,Science,Python,Leadership,Introvert,Research,Office,Lab Manager
59.93,Sports,Excel,Leadership,Introvert,Sports Marketing,Hybrid,Sports Marketing Manager
62.98,MBA,Power BI,Leadership,Introvert,Growth Marketing,Office,Growth Manager
57.72,Engineering,Python,Analytical,Extrovert,AI,Remote,AI Engineer
70.63,MBA,Power BI,Communication,Extrovert,Digital Marketing,Office,Digital Marketing Manager
58.74,MBA,Power BI,Leadership,Introvert,Operations,Hybrid,Operations Manager
82.79,Science,Python,Problem Solving,Introvert,ML,Hybrid,AI Researcher
94.01,MBA,Power BI,Leadership,Ambivert,Growth Marketing,Office,Growth Manager
63.96,MBA,SQL,Leadership,Introvert,Business Analytics,Hybrid,Strategy Consultant
50.38,MBA,SQL,Leadership,Extrovert,Business Analytics,Remote,Strategy Consultant
62.76,Arts,Web Dev,Communication,Introvert,Content Creation,Remote,Content Designer
89.46,Engineering,Web Dev,Analytical,Ambivert,Architecture,Office,Backend Developer
78.69,Commerce,Excel,Analytical,Extrovert,Finance,Remote,Financial Analyst
76.6,Arts,UI/UX,Problem Solving,Ambivert,Product Design,Hybrid,Product Designer
73.13,Sports,Communication,Leadership,Extrovert,Coaching,Remote,Coach
57.15,MBA,SQL,Leadership,Extrovert,Business Analytics,Remote,Strategy Consultant
57.33,Sports,Excel,Leadership,Introvert,Event Management,Hybrid,Sports Event Manager
60.71,Journalism,Graphics Design,Creative,Ambivert,Marketing,Office,Media Specialist
87.11,Commerce,Tally,Communication,Ambivert,Taxation,Hybrid,Tax Consultant
70.56,Science,SQL,Analytical,Extrovert,Data Science,Office,Data Analyst
53.31,Engineering,SQL,Analytical,Extrovert,Business Analytics,Hybrid,BI Analyst
85.72,Commerce,Tally,Communication,Introvert,Taxation,Remote,Tax Consultant
78.91,Engineering,Python,Problem Solving,Introvert,ML,Hybrid,ML Engineer
94.58,Sports,Communication,Leadership,Introvert,Coaching,Office,Coach
75.08,Sports,Excel,Leadership,Introvert,Event Management,Remote,Sports Event Manager
82.19,Engineering,Python,Creative,Introvert,Computer Vision,Hybrid,CV Engineer
60.27,Science,Python,Analytical,Introvert,Quantum Computing,Remote,Quantum Researcher
93.2,Engineering,Python,Problem Solving,Ambivert,NLP,Hybrid,NLP Engineer
93.3,Arts,UI/UX,Problem Solving,Introvert,Product Design,Hybrid,Product Designer
56.66,Journalism,Web Dev,Communication,Extrovert,SEO,Remote,SEO Specialist
54.18,Commerce,Power BI,Creative,Introvert,Marketing Analytics,Hybrid,Marketing Analyst
63.02,Engineering,Web Dev,Communication,Ambivert,Web Apps,Hybrid,Full Stack Developer
76.38,Journalism,Graphics Design,Leadership,Extrovert,PR,Office,PR Specialist
60.53,Arts,UI/UX,Problem Solving,Ambivert,Product Design,Remote,Product Designer
81.42,Sports,Analytics,Problem Solving,Extrovert,Sports Science,Remote,Sports Scientist
55.17,Commerce,SQL,Analytical,Introvert,FinTech,Remote,FinTech Analyst
54.72,Engineering,Python,Problem Solving,Extrovert,NLP,Hybrid,NLP Engineer
72.99,Commerce,Excel,Problem Solving,Extrovert,Audit,Office,Auditor
52.54,MBA,SQL,Leadership,Introvert,Enterprise Strategy,Remote,Strategy Manager
61.27,Journalism,Web Dev,Communication,Extrovert,SEO,Office,SEO Specialist
61.02,Engineering,Python,Analytical,Introvert,AI,Remote,Prompt Engineer
75.33,Engineering,Python,Analytical,Extrovert,AI,Office,Prompt Engineer
54.16,Journalism,Web Dev,Communication,Introvert,SEO,Hybrid,SEO Specialist
63.25,Sports,Excel,Leadership,Extrovert,Sports,Office,Sports Manager
76.68,MBA,Power BI,Leadership,Ambivert,Operations,Remote,Operations Manager
76.32,Science,Python,Analytical,Extrovert,Bioinformatics,Hybrid,Bioinformatics Analyst
69.95,Engineering,Power BI,Communication,Introvert,Analytics,Hybrid,BI Developer
78.6,Arts,UI/UX,Creative,Extrovert,Design,Hybrid,UI UX Designer
80.89,Science,Maths,Analytical,Ambivert,Econometrics,Remote,Quant Analyst
88.66,Science,Python,Analytical,Extrovert,Quantum Computing,Remote,Quantum Researcher
81.14,Journalism,Web Dev,Communication,Introvert,Broadcasting,Remote,Broadcast Journalist
95.18,Arts,UI/UX,Problem Solving,Introvert,Product Design,Hybrid,Product Designer
65.98,Engineering,C++,Problem Solving,Extrovert,Robotics,Hybrid,Robotics Engineer
88.83,Sports,Excel,Leadership,Ambivert,Sports,Office,Sports Manager
95.88,Engineering,Python,Analytical,Introvert,AI,Remote,Data Scientist
92.53,Engineering,Python,Creative,Introvert,Generative AI,Office,GenAI Specialist
74.52,Sports,Excel,Leadership,Introvert,Sports Marketing,Office,Sports Marketing Manager
93.38,MBA,Excel,Leadership,Extrovert,HR,Office,HR Manager
50.55,MBA,Power BI,Leadership,Ambivert,Operations,Office,Operations Manager
50.11,Engineering,Python,Problem Solving,Extrovert,NLP,Hybrid,NLP Engineer
71.54,Engineering,C++,Problem Solving,Introvert,Automotive,Office,Automotive Engineer
61.58,Engineering,Python,Creative,Ambivert,Generative AI,Hybrid,GenAI Specialist
94.54,Journalism,Web Dev,Communication,Ambivert,Social Media,Hybrid,Social Media Manager
80.61,MBA,Power BI,Communication,Introvert,Digital Marketing,Office,Digital Marketing Manager
68.74,Science,Excel,Communication,Extrovert,Teaching,Office,Science Teacher
70.19,Sports,Communication,Leadership,Introvert,Coaching,Office,Coach
56.21,Engineering,C++,Problem Solving,Ambivert,Automotive,Office,Automotive Engineer
85.67,Sports,Analytics,Problem Solving,Extrovert,Sports Science,Remote,Sports Scientist
78.2,Engineering,Python,Analytical,Extrovert,AI,Remote,Prompt Engineer
90.53,MBA,Power BI,Communication,Ambivert,Digital Marketing,Remote,Digital Marketing Manager
66.34,MBA,Excel,Communication,Ambivert,Sales,Remote,Sales Manager
55.05,MBA,Power BI,Analytical,Introvert,Business Intelligence,Hybrid,BI Manager
53.8,Journalism,Web Dev,Leadership,Introvert,News,Hybrid,Editor
50.47,Engineering,Python,Problem Solving,Introvert,ML,Remote,ML Engineer
90.79,Sports,Communication,Leadership,Ambivert,Coaching,Remote,Coach
67.98,Sports,Analytics,Leadership,Extrovert,Sports Tech,Office,Sports Technology Analyst
82.66,Arts,UI/UX,Analytical,Introvert,User Research,Remote,UX Researcher
81.76,Sports,Excel,Leadership,Introvert,Event Management,Remote,Sports Event Manager
78.61,Commerce,Excel,Leadership,Introvert,Investment,Office,Investment Analyst
73.76,Engineering,Python,Problem Solving,Ambivert,DevOps,Hybrid,DevOps Engineer
55.85,Journalism,Communication Tools,Communication,Extrovert,Media,Remote,Journalist
84.11,Arts,UI/UX,Analytical,Ambivert,User Research,Hybrid,UX Researcher
62.78,Commerce,Excel,Communication,Introvert,Insurance,Hybrid,Insurance Analyst
76.92,MBA,SQL,Analytical,Introvert,Product,Hybrid,Product Manager
76.08,Science,Python,Analytical,Ambivert,Quantum Computing,Remote,Quantum Researcher
77.6,Arts,UI/UX,Creative,Ambivert,Accessibility,Office,Accessibility Designer
68.07,Arts,Graphics Design,Leadership,Introvert,Branding,Remote,Brand Designer
90.66,Arts,UI/UX,Creative,Introvert,Design,Office,UI UX Designer
78.04,Sports,Excel,Leadership,Introvert,Sports Marketing,Office,Sports Marketing Manager
56.66,Sports,Excel,Team Work,Introvert,Fitness,Remote,Fitness Manager
81.3,Engineering,Web Dev,Communication,Extrovert,Web Apps,Remote,Full Stack Developer
77.51,Engineering,Networking,Leadership,Ambivert,Cyber Security,Hybrid,Security Engineer
66,Arts,Web Dev,Communication,Extrovert,Content Creation,Hybrid,Content Designer
83.1,Sports,Excel,Leadership,Extrovert,Sports Marketing,Office,Sports Marketing Manager
72.95,Journalism,Graphics Design,Creative,Introvert,Marketing,Office,Media Specialist
74.04,MBA,Power BI,Leadership,Ambivert,Growth Marketing,Office,Growth Manager
65.86,Sports,Analytics,Problem Solving,Extrovert,Sports Science,Office,Sports Scientist
69.47,Science,Maths,Problem Solving,Ambivert,Actuarial Science,Office,Actuary
87.7,Commerce,Excel,Problem Solving,Extrovert,Audit,Office,Auditor
50.11,Journalism,Web Dev,Leadership,Extrovert,News,Remote,Editor
75.16,Arts,Graphics Design,Communication,Introvert,Animation,Remote,Animator
68.81,Journalism,UI/UX,Creative,Introvert,Storytelling,Office,Content Creator
70.09,Sports,Analytics,Communication,Ambivert,Performance,Hybrid,Performance Analyst
80.33,Arts,UI/UX,Analytical,Extrovert,User Research,Hybrid,UX Researcher
71.39,Journalism,Web Dev,Communication,Introvert,Social Media,Hybrid,Social Media Manager
53.21,Journalism,Web Dev,Leadership,Introvert,News,Hybrid,Editor
89.5,Commerce,Power BI,Creative,Ambivert,Marketing Analytics,Hybrid,Marketing Analyst
70.32,Commerce,Power BI,Communication,Extrovert,Analytics,Office,Business Analyst
80.16,Journalism,UI/UX,Communication,Extrovert,Publishing,Remote,Content Strategist
55.29,Science,Power BI,Analytical,Introvert,Analytics,Remote,Research Analyst
68.2,Journalism,Graphics Design,Creative,Extrovert,Advertising,Office,Copywriter
99.81,Arts,Web Dev,Communication,Extrovert,Media,Office,Media Designer
92.72,Arts,Graphics Design,Leadership,Introvert,Branding,Hybrid,Brand Designer
95.72,MBA,SQL,Analytical,Extrovert,Product,Hybrid,Product Manager
95.55,Commerce,SQL,Analytical,Introvert,FinTech,Hybrid,FinTech Analyst
82.88,Science,Maths,Analytical,Ambivert,Econometrics,Office,Quant Analyst
65.72,MBA,SQL,Leadership,Ambivert,Enterprise Strategy,Remote,Strategy Manager
57.04,Engineering,Networking,Analytical,Introvert,Telecom,Office,Telecom Engineer
87.2,Science,Python,Problem Solving,Ambivert,ML,Remote,AI Researcher
70.65,Sports,Excel,Leadership,Extrovert,Sports Marketing,Remote,Sports Marketing Manager
99.96,Science,Excel,Communication,Introvert,Teaching,Hybrid,Science Teacher
79.44,MBA,Excel,Leadership,Ambivert,HR,Hybrid,HR Manager
53.68,Journalism,UI/UX,Creative,Introvert,Storytelling,Remote,Content Creator
50.12,Science,Maths,Problem Solving,Extrovert,Actuarial Science,Remote,Actuary
88.51,Arts,Web Dev,Creative,Ambivert,Creative Tech,Office,Creative Technologist
85.95,Engineering,Python,Problem Solving,Ambivert,DevOps,Remote,DevOps Engineer
86.22,Engineering,Networking,Communication,Introvert,Infrastructure,Hybrid,System Engineer
90.89,MBA,SQL,Leadership,Extrovert,Enterprise Strategy,Remote,Strategy Manager
76.06,Journalism,Web Dev,Communication,Ambivert,SEO,Office,SEO Specialist
55.26,MBA,SQL,Leadership,Ambivert,Enterprise Strategy,Office,Strategy Manager
61.02,Commerce,Power BI,Communication,Introvert,Analytics,Remote,Business Analyst
97.64,Science,Maths,Analytical,Introvert,Econometrics,Office,Quant Analyst
61.91,Arts,Graphics Design,Creative,Introvert,Gaming,Remote,Game Artist
64.02,Journalism,UI/UX,Creative,Extrovert,Storytelling,Office,Content Creator
91.97,Arts,Graphics Design,Creative,Introvert,Design,Remote,Graphic Designer
93,Science,Python,Analytical,Extrovert,Quantum Computing,Hybrid,Quantum Researcher
51.53,Engineering,Power BI,Communication,Introvert,Analytics,Office,BI Developer
71.38,Journalism,Graphics Design,Creative,Introvert,Advertising,Office,Copywriter
57.79,Journalism,Web Dev,Leadership,Extrovert,News,Office,Editor
73.02,Commerce,Power BI,Creative,Extrovert,Marketing Analytics,Remote,Marketing Analyst
98.19,Journalism,Graphics Design,Creative,Introvert,Advertising,Office,Copywriter
74.86,Engineering,SQL,Analytical,Introvert,Business Analytics,Remote,BI Analyst
95.72,Commerce,Excel,Communication,Introvert,Insurance,Hybrid,Insurance Analyst
55.45,MBA,Excel,Leadership,Introvert,Marketing,Office,Marketing Manager
71.68,Science,Python,Analytical,Extrovert,AI,Office,Research Scientist
